,Site_brenner_lower_bound,Site_brenner_upper_bound
CLTC,2446.79,11690.78
DAPI,519.3,3640.93
PSD95,4471.21,26801.63
FMRP,993.76,5155.09
Phalloidin,1778.28,14548.5
SQSTM1,975.9,15029.06
AGO2,8289.56,33657.34
CD41,8676.67,21444.82
TDP43,554.81,7823.36
HNRNPA1,233.29,23759.5
PSPC1,229.9,23992.14
Tubulin,5256.55,85715.47
Calreticulin,2911.36,40075.55
LAMP1,776.07,5431.15
ANXA11,719.29,16340.29
SNCA,3114.02,19361.16
G3BP1,1095.11,8569.01
PURA,1508.33,5632.08
TOMM20,2101.81,15215.78
FUS,138.15,22881.21
NCL,465.76,3317.33
GM130,1263.61,8051.07
KIF5A,3350.7,13086.7
DCP1A,3017.39,15593.05
NEMO,11175.38,33404.69
PEX14,4050.32,11547.82
PML,50856.45,
mitotracker,2682.19,9099.38
NONO,545.53,8014.62
VDAC1,3991.19,12598.19
